,months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,fraud_reported
0,328,48,521585,2,1000,1406.91,0,MALE,4,2,0,53300,0,2,0,4,4,1,996,5,1,1,2,YES,71610,6510,13020,52080,10,Y
1,228,42,342868,1,2000,1197.22,5000000,MALE,4,6,2,0,0,3,1,4,5,5,628,8,1,0,0,?,5070,780,780,3510,8,Y
2,134,29,687698,2,2000,1413.14,5000000,FEMALE,6,11,3,35100,0,0,1,4,1,1,685,7,3,2,3,NO,34650,7700,3850,23100,4,N
3,256,41,227811,0,2000,1415.74,6000000,FEMALE,6,1,4,48900,-62400,2,0,4,2,0,669,5,1,1,2,NO,63400,6340,6340,50720,3,Y
4,228,44,367455,0,1000,1583.91,6000000,MALE,0,11,4,66000,-46000,3,1,2,1,0,220,20,1,0,1,NO,6500,1300,650,4550,0,N
5,256,39,104594,2,1000,1351.1,0,FEMALE,6,12,4,0,0,0,0,1,4,0,891,19,3,0,2,NO,64100,6410,6410,51280,10,Y
6,137,34,413978,1,1000,1333.35,0,MALE,6,9,0,0,-77000,0,1,4,1,6,539,0,3,0,0,?,78650,21450,7150,50050,9,N
7,165,37,429027,0,1000,1137.03,0,MALE,0,12,4,0,0,0,2,4,5,1,276,23,3,2,2,YES,51590,9380,9380,32830,1,N
8,27,33,485665,0,500,1442.99,0,FEMALE,6,7,3,0,0,2,2,4,6,0,429,21,1,1,1,YES,27700,2770,2770,22160,12,N
9,212,42,636550,0,500,1315.68,0,MALE,6,8,5,0,-39300,2,2,3,0,2,224,14,1,2,1,?,42300,4700,4700,32900,10,N
10,235,42,543610,2,500,1253.12,4000000,FEMALE,5,3,2,38400,0,2,2,4,1,3,61,22,1,2,2,?,87010,7910,15820,63280,5,N
11,447,61,214618,2,2000,1137.16,0,FEMALE,2,3,2,0,-51000,0,0,1,4,6,553,21,3,1,2,YES,114920,17680,17680,79560,1,N
12,60,23,842643,2,500,1215.36,3000000,MALE,4,10,5,0,0,2,2,0,4,3,633,9,1,1,0,NO,56520,4710,9420,42390,10,N
13,121,34,626808,2,1000,936.61,0,FEMALE,4,1,5,52800,-32800,1,1,2,4,6,622,5,1,1,1,NO,7280,1120,1120,5040,12,N
14,180,38,644081,2,2000,1301.13,0,FEMALE,1,6,1,41300,-55500,2,2,4,4,6,658,12,1,0,2,YES,46200,4200,8400,33600,4,Y
