age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,fraud_reported
48,2,1000,1406.91,0,1,4,2,0,53300,0,24,2,3,0,4,4,1,996,5,1,2,1,2,2,71610,6510,13020,52080,10,1
42,1,2000,1197.22,5000000,1,4,6,2,0,0,20,3,0,1,4,5,5,628,8,1,0,0,0,0,5070,780,780,3510,8,1
29,2,2000,1413.14,5000000,0,6,11,3,35100,0,52,0,2,1,4,1,1,685,7,3,1,2,3,1,34650,7700,3850,23100,4,0
41,0,2000,1415.74,6000000,0,6,1,4,48900,-62400,9,2,1,0,4,2,0,669,5,1,0,1,2,1,63400,6340,6340,50720,3,1
44,0,1000,1583.91,6000000,1,0,11,4,66000,-46000,47,3,0,1,2,1,0,220,20,1,1,0,1,1,6500,1300,650,4550,0,0
39,2,1000,1351.1,0,0,6,12,4,0,0,1,0,2,0,1,4,0,891,19,3,1,0,2,1,64100,6410,6410,51280,10,1
34,1,1000,1333.35,0,1,6,9,0,0,-77000,12,0,1,1,4,1,6,539,0,3,0,0,0,0,78650,21450,7150,50050,9,0
37,0,1000,1137.03,0,1,0,12,4,0,0,57,0,1,2,4,5,1,276,23,3,0,2,2,2,51590,9380,9380,32830,1,0
33,0,500,1442.99,0,0,6,7,3,0,0,29,2,1,2,4,6,0,429,21,1,1,1,1,2,27700,2770,2770,22160,12,0
42,0,500,1315.68,0,1,6,8,5,0,-39300,4,2,2,2,3,0,2,224,14,1,1,2,1,0,42300,4700,4700,32900,10,0
42,2,500,1253.12,4000000,0,5,3,2,38400,0,5,2,1,2,4,1,3,61,22,1,2,2,2,0,87010,7910,15820,63280,5,0
61,2,2000,1137.16,0,0,2,3,2,0,-51000,45,0,1,0,1,4,6,553,21,3,2,1,2,2,114920,17680,17680,79560,1,0
23,2,500,1215.36,3000000,1,4,10,5,0,0,21,2,2,2,0,4,3,633,9,1,2,1,0,1,56520,4710,9420,42390,10,0
